crop,area,rainfall,temperature,fertilizer,yield_per_acre
Soybean,1.25,137.3,23.6,0.7,0.967
Sugarcane,2.51,293.3,35.1,40.5,27.074
Wheat,7.79,137.1,15.7,49.8,1.58
Cotton,21.36,38.4,19.7,76.2,0.711
Tomato,20.69,36.3,30.4,117.1,12.086
Potato,2.99,69.6,30.9,120.1,8.51
Cotton,3.86,36.1,29.0,17.8,0.724
Onion,4.91,247.2,16.0,206.0,5.274
Mustard,8.29,278.6,12.1,63.3,0.437
Mustard,2.59,387.8,26.0,188.4,0.556
Cotton,21.2,268.2,32.4,177.4,0.594
Banana,22.54,67.5,13.7,216.2,19.445
Potato,13.09,316.7,38.5,102.7,4.218
Sugarcane,9.11,28.8,40.8,157.5,26.784
Groundnut,15.12,122.3,29.5,149.7,1.539
Onion,20.43,133.1,23.9,121.2,7.584
Wheat,8.16,35.9,41.2,210.6,1.643
Mustard,23.03,24.9,34.6,39.6,0.579
Mustard,1.01,282.7,36.5,7.8,0.339
Wheat,2.44,369.9,39.7,163.1,0.869
Wheat,0.91,214.4,38.1,196.4,1.131
Mustard,17.65,42.9,35.4,54.9,0.703
Cotton,5.22,299.1,40.7,119.0,0.53
Soybean,7.52,338.7,13.1,61.9,0.701
Soybean,5.13,358.4,26.5,54.1,0.943
Banana,17.67,61.8,37.6,32.7,17.544
Sugarcane,15.85,154.6,27.3,125.2,32.733
Rice,23.51,20.9,29.9,70.4,1.929
Chickpea,2.87,43.0,24.1,148.2,1.106
Rice,8.74,369.7,39.2,168.0,2.203
Mustard,15.22,321.9,17.3,179.8,0.565
Maize,12.6,259.8,22.2,93.4,1.999
Onion,18.64,96.2,39.9,182.4,6.814
Tomato,11.18,358.9,25.3,22.4,7.074
Banana,2.06,91.4,22.8,215.4,23.44
Wheat,20.36,347.2,35.5,214.1,0.869
Banana,12.23,150.3,20.5,98.3,19.951
Millets,6.98,366.4,17.0,146.3,0.633
Millets,24.03,261.2,13.9,203.2,0.495
Tomato,0.83,103.1,20.4,151.4,14.768
Banana,15.94,43.6,25.0,108.7,23.58
Rice,12.32,230.5,30.9,46.2,2.03
Soybean,20.78,318.9,36.2,115.6,0.905
Maize,10.79,330.2,38.1,98.8,1.158
Soybean,16.01,167.4,39.2,110.7,1.115
Soybean,2.87,351.0,16.9,179.0,0.862
Mustard,18.56,369.9,30.0,74.5,0.413
Groundnut,9.43,116.6,26.7,197.6,1.448
Tomato,22.48,200.5,40.4,174.1,7.757
Sugarcane,24.95,382.4,24.3,183.4,27.327
Groundnut,6.67,216.7,34.7,16.9,0.771
Onion,12.23,162.6,34.2,51.3,7.248
Maize,7.01,40.8,37.3,49.4,1.773
Rice,12.82,122.2,29.0,159.2,2.121
Rice,5.41,168.5,38.4,24.1,1.86
Groundnut,2.4,146.5,35.1,205.7,1.518
Millets,16.23,298.0,24.1,147.3,0.705
Tomato,13.7,216.3,32.1,33.5,8.003
Millets,1.74,258.3,28.0,184.7,0.875
Rice,16.65,135.3,23.6,17.2,1.379
Groundnut,20.56,389.3,26.7,28.2,0.577
Wheat,22.03,188.0,38.4,79.8,1.017
Rice,17.01,39.0,32.4,175.9,1.934
Wheat,13.29,389.1,41.2,24.1,0.63
Rice,19.94,353.2,13.3,213.9,1.617
Onion,2.14,111.3,22.4,188.6,10.558
Potato,23.55,180.6,39.5,197.1,7.478
Potato,20.1,272.7,18.7,171.9,8.683
Sugarcane,15.25,375.2,19.2,12.2,19.058
Rice,8.16,198.0,27.0,179.5,2.499
Onion,7.19,123.7,21.7,32.1,8.003
Cotton,20.88,118.8,37.5,125.6,0.884
Mustard,22.07,137.2,31.9,67.9,0.511
Millets,15.82,92.6,23.1,77.3,0.983
Cotton,7.52,144.4,12.3,69.5,0.628
Cotton,10.34,392.6,28.4,16.0,0.499
Chickpea,1.8,338.1,24.2,13.6,0.571
Groundnut,21.44,179.8,25.8,79.7,0.904
Groundnut,19.94,31.7,26.7,58.4,1.191
Rice,9.04,222.6,34.3,208.1,1.828
Sugarcane,9.04,250.3,23.0,21.3,28.086
Sugarcane,1.55,356.0,38.1,123.8,27.476
Rice,8.91,151.6,33.6,178.6,2.117
Onion,6.0,296.6,22.5,155.2,6.217
Soybean,4.33,356.5,36.7,128.3,0.777
Onion,2.76,196.2,20.0,182.8,8.083
Maize,11.58,370.3,29.3,85.2,1.434
Tomato,14.7,165.2,32.1,170.7,11.01
Groundnut,6.59,378.1,27.4,181.7,0.938
Mustard,23.42,281.5,15.4,156.2,0.528
Chickpea,9.53,109.9,19.6,9.1,0.848
Chickpea,7.65,243.0,26.9,218.5,0.613
Onion,23.68,333.2,31.7,15.7,4.428
Mustard,7.41,122.4,27.7,62.3,0.693
Onion,5.24,78.3,13.3,121.6,8.535
Tomato,5.6,370.9,23.4,31.0,7.227
Potato,11.24,226.9,30.0,16.1,7.132
Banana,6.86,281.3,30.4,218.4,26.603
Cotton,4.99,389.7,26.5,145.5,0.618
Groundnut,24.69,386.5,41.5,181.3,0.673
Cotton,14.51,48.4,35.8,164.8,0.93
Onion,7.01,327.8,41.2,93.2,4.14
Soybean,22.57,282.0,32.1,207.7,1.024
Onion,17.9,203.9,20.6,55.4,5.448
Potato,6.44,373.8,24.1,139.4,6.325
Soybean,10.29,306.8,13.7,88.5,0.89
Groundnut,16.88,315.4,34.9,145.6,0.788
Sugarcane,1.75,94.1,28.7,196.9,34.243
Soybean,20.88,190.5,19.8,17.6,0.929
Groundnut,14.73,293.9,30.2,77.1,0.95
Potato,3.93,132.5,28.1,15.2,7.906
Potato,9.62,192.7,32.4,34.1,7.706
Rice,10.94,115.4,15.0,203.6,1.842
Groundnut,4.92,212.4,21.6,36.5,0.865
Soybean,22.51,153.9,20.6,82.1,1.146
Cotton,4.56,260.3,24.0,3.8,0.419
Potato,3.31,177.1,31.7,128.9,9.091
Millets,18.32,342.7,17.5,8.1,0.463
Potato,17.17,192.9,33.8,34.6,7.669
Mustard,21.99,231.5,36.0,72.1,0.371
Tomato,9.17,360.8,32.9,100.4,8.057
Soybean,15.03,221.7,34.1,53.4,0.976
Potato,8.06,98.1,22.0,176.6,13.235
Onion,13.56,172.4,36.8,171.4,6.398
Sugarcane,7.42,28.1,21.4,132.2,29.669
Onion,24.67,300.3,24.4,175.4,6.126
Mustard,23.88,159.3,32.7,4.2,0.363
Groundnut,3.0,184.7,15.2,40.7,0.849
Cotton,2.05,257.5,13.8,158.0,0.55
Mustard,24.22,263.8,29.9,37.7,0.444
Groundnut,21.61,70.1,12.9,79.0,1.018
Chickpea,23.98,347.5,25.2,60.7,0.566
Cotton,23.47,320.4,38.0,167.4,0.506
Mustard,20.56,267.4,35.2,161.5,0.456
Wheat,7.5,345.4,24.2,39.1,1.051
Banana,16.25,244.2,31.9,218.6,25.911
Cotton,24.4,310.1,37.7,176.5,0.517
Mustard,3.09,275.9,13.8,7.3,0.449
Chickpea,22.97,257.0,25.8,182.3,0.559
Groundnut,3.04,363.9,15.0,157.1,0.661
Rice,13.28,57.1,33.9,132.4,2.074
Chickpea,22.85,89.9,18.1,208.8,0.919
Groundnut,6.3,73.7,33.3,171.7,1.459
Soybean,8.38,140.5,41.2,128.2,1.086
Maize,7.82,141.2,33.4,120.8,2.183
Onion,1.14,281.1,33.7,39.7,4.739
Groundnut,22.0,249.1,32.1,154.2,0.952
Rice,12.08,108.1,32.6,157.3,2.125
Maize,23.88,371.5,16.0,105.1,1.271
Groundnut,14.37,286.1,41.3,148.1,0.77
Millets,6.39,107.2,25.2,193.9,1.154
Wheat,20.71,87.4,30.5,15.4,1.362
Groundnut,8.31,326.1,13.2,80.3,0.656
Millets,12.23,210.1,39.2,192.7,0.709
Soybean,17.46,226.3,22.6,108.4,1.086
Soybean,14.42,86.7,30.6,109.6,1.137
Onion,23.62,397.2,40.5,162.6,4.506
Potato,23.71,193.1,18.0,24.4,7.818
Cotton,8.54,311.2,30.8,62.4,0.498
Banana,4.71,66.3,30.0,51.3,21.146
Mustard,23.45,86.7,26.1,64.9,0.802
Banana,6.87,310.1,36.4,118.7,22.41
Soybean,3.85,212.5,36.9,136.6,1.074
Groundnut,24.02,57.5,13.3,78.4,1.138
Potato,1.74,115.9,41.6,141.0,9.023
Chickpea,19.0,371.6,34.2,25.6,0.419
Wheat,10.37,363.5,34.9,176.4,0.967
Chickpea,19.11,260.7,16.2,166.5,0.618
Rice,18.62,291.2,12.2,170.5,1.843
Millets,24.13,369.5,23.5,156.1,0.648
Chickpea,20.64,141.5,26.1,24.7,0.671
Banana,7.26,241.5,23.4,34.3,22.722
Banana,20.66,129.9,27.5,198.6,25.087
Wheat,23.91,327.5,18.6,44.2,1.056
Chickpea,2.45,247.8,19.0,184.6,0.712
Soybean,19.96,53.5,30.0,211.8,1.192
Soybean,2.5,365.2,15.9,81.1,0.695
Cotton,6.99,119.2,24.4,62.9,0.817
Onion,14.12,81.4,39.4,76.8,8.149
Maize,24.02,250.7,13.8,42.4,1.489
Sugarcane,5.1,249.9,21.2,76.9,30.239
Mustard,3.27,161.3,38.9,186.2,0.473
Chickpea,21.17,54.8,15.7,4.1,0.757
Tomato,1.43,196.8,19.4,183.1,11.442
Mustard,19.27,163.7,39.8,197.1,0.4
Rice,8.76,299.6,40.2,69.6,1.822
Potato,6.96,393.6,28.2,212.9,5.464
Soybean,14.87,79.1,25.4,97.4,1.157
Cotton,9.99,193.0,38.3,39.7,0.591
Chickpea,15.91,59.6,16.4,161.2,1.125
Chickpea,13.21,83.7,35.9,201.9,0.926
Wheat,10.61,377.1,17.7,37.6,1.174
Maize,13.81,97.8,30.5,206.1,2.959
Mustard,21.98,258.2,20.0,20.6,0.527
Rice,1.21,90.2,32.1,166.7,2.226
Soybean,19.25,325.0,34.6,7.2,0.668
Onion,14.29,183.8,12.7,130.0,6.834
Groundnut,5.14,281.4,14.7,132.1,0.678
Chickpea,10.18,368.5,27.8,165.1,0.659
Rice,22.49,176.9,41.0,33.7,1.409
Mustard,13.38,72.6,30.8,28.9,0.686
Onion,16.53,108.5,40.9,187.7,7.229
Mustard,9.45,204.0,22.1,186.9,0.627
Wheat,5.75,172.4,30.7,183.0,1.491
Sugarcane,2.46,37.9,22.9,178.2,31.069
Rice,7.5,362.7,29.3,89.7,2.423
Maize,3.27,61.2,32.2,158.5,2.859
Banana,4.32,28.0,15.0,23.3,13.74
Potato,6.28,71.0,35.9,80.7,8.541
Soybean,3.91,50.4,32.4,96.8,1.181
Sugarcane,19.91,27.3,24.9,28.0,21.835
Soybean,4.31,46.0,26.4,185.6,1.287
Chickpea,7.96,189.5,20.4,74.3,0.676
Rice,20.22,97.7,35.6,86.8,1.968
Millets,15.62,278.0,22.9,156.9,0.678
Mustard,13.9,41.2,26.2,11.3,0.725
Potato,12.15,174.3,13.4,30.2,7.123
Potato,12.42,313.6,25.3,42.2,5.798
Millets,9.7,369.4,21.7,81.1,0.564
Mustard,15.41,148.5,40.4,77.6,0.411
Onion,21.16,375.4,40.7,117.3,4.745
Sugarcane,22.28,308.1,24.0,53.9,24.86
Maize,11.05,391.9,37.6,173.9,1.414
Mustard,19.02,175.6,14.8,161.8,0.541
Tomato,3.75,36.2,21.8,112.2,11.893
Wheat,22.44,247.2,27.7,51.1,1.013
Chickpea,15.21,348.7,38.5,99.4,0.408
Sugarcane,23.79,384.0,41.9,55.5,18.991
Tomato,1.77,25.7,32.2,26.4,9.655
Rice,2.63,99.3,28.6,73.0,1.977
Rice,16.4,21.3,37.4,12.7,1.269
Soybean,22.64,226.0,35.1,38.0,0.815
Millets,1.07,229.6,25.8,175.3,0.871
Rice,4.51,321.8,41.3,21.5,1.568
Cotton,13.13,138.6,12.4,159.3,0.712
Chickpea,6.98,245.1,20.5,154.5,0.652
Mustard,8.9,213.4,29.6,127.5,0.525
Maize,6.31,34.3,18.6,13.0,1.827
Rice,3.06,177.8,35.1,169.9,2.341
Soybean,6.69,236.0,39.3,131.8,0.962
Chickpea,5.61,122.0,16.5,17.2,0.73
Banana,11.57,376.8,37.9,163.7,19.988
Banana,6.97,345.4,32.4,131.9,25.067
Sugarcane,23.26,87.2,14.4,60.0,23.675
Banana,2.88,271.5,24.0,200.7,23.283
Rice,9.83,337.2,19.3,119.5,1.799
Chickpea,15.29,373.4,25.3,138.4,0.602
Rice,22.69,336.2,14.3,56.9,1.295
Onion,22.31,324.9,21.4,136.6,5.601
Wheat,14.9,394.7,28.3,42.8,0.919
Groundnut,4.81,281.5,39.1,148.7,0.779
Wheat,11.22,224.5,28.0,86.3,0.958
Onion,17.69,37.9,18.1,99.9,7.901
Sugarcane,19.97,179.4,18.6,5.8,23.703
Cotton,10.71,172.1,30.8,13.7,0.68
Sugarcane,21.86,171.1,29.5,156.3,32.811
Rice,3.81,240.5,39.1,196.4,2.224
Groundnut,9.16,113.2,40.9,7.6,0.904
Sugarcane,1.19,344.5,26.1,50.2,27.782
Soybean,3.14,379.8,32.9,140.5,0.894
Wheat,12.5,313.4,13.6,146.8,1.084
Groundnut,5.78,347.5,39.9,21.1,0.577
Cotton,16.84,314.1,26.7,203.9,0.519
Mustard,3.99,52.6,38.3,122.7,0.88
Wheat,18.37,298.2,15.8,24.1,0.916
Banana,24.85,142.8,30.6,126.0,26.064
Groundnut,13.21,371.3,25.6,104.0,0.841
Mustard,20.79,191.7,25.3,104.1,0.442
Onion,23.26,256.6,20.5,198.1,6.196
Chickpea,10.66,280.4,13.6,68.8,0.539
Wheat,16.65,52.1,18.1,159.5,1.794
Mustard,24.82,253.3,24.9,131.4,0.534
Rice,12.64,270.1,33.3,39.5,1.831
Banana,20.04,312.6,36.3,96.2,21.823
Cotton,17.79,142.4,41.3,83.3,0.745
Mustard,18.8,210.6,24.2,140.2,0.521
Mustard,15.0,324.0,15.7,153.4,0.586
Rice,5.62,207.5,20.0,70.8,2.014
Onion,11.06,205.3,42.0,26.8,4.509
Millets,20.44,127.3,23.8,180.7,0.97
Chickpea,21.47,44.5,20.6,122.7,0.978
Potato,12.86,369.7,40.4,70.2,4.041
Rice,22.85,235.5,29.4,179.3,2.3
Tomato,21.36,206.8,34.1,199.1,9.477
Soybean,22.28,144.4,39.9,67.2,1.118
Groundnut,23.09,311.9,34.2,214.1,0.842
Onion,22.25,34.1,16.0,59.7,7.074
Mustard,9.89,33.5,14.3,128.2,0.906
Maize,22.53,356.6,30.7,87.2,1.396
Potato,5.17,151.4,22.9,127.6,10.582
Groundnut,20.55,258.1,19.6,88.5,0.606
Cotton,2.75,290.2,24.2,27.3,0.454
Sugarcane,14.23,29.8,35.7,108.1,27.042
Soybean,14.84,386.0,20.4,90.8,0.716
Banana,22.89,320.6,31.3,175.0,20.27
Wheat,14.68,124.2,19.2,63.4,1.788
Onion,7.19,47.1,32.2,112.7,9.082
Chickpea,4.86,208.1,39.6,167.4,0.444
Tomato,14.83,44.4,24.8,67.6,12.21
Soybean,19.77,251.8,33.1,160.7,0.936
Millets,21.73,254.6,34.1,2.4,0.475
Tomato,1.86,265.5,39.9,161.2,6.979
Soybean,1.89,151.1,19.2,6.1,0.966
Tomato,3.77,94.0,38.1,218.6,12.259
Cotton,6.2,86.8,29.4,172.5,1.024
Wheat,12.43,395.4,35.6,11.2,0.617
Mustard,14.21,105.2,24.1,138.5,0.747
Potato,6.93,370.0,21.7,202.5,8.415
Banana,12.93,374.3,20.3,186.7,20.855
Mustard,16.76,95.4,31.8,38.9,0.651
Soybean,15.46,73.1,15.0,133.6,0.994
Tomato,24.98,66.7,26.2,203.4,12.036
Potato,1.23,327.0,19.2,164.2,7.299
Rice,12.03,86.8,24.7,86.9,2.027
Sugarcane,13.78,284.9,17.2,219.4,25.416
Tomato,15.43,140.9,20.8,69.7,11.605
Wheat,7.53,315.9,17.4,31.2,1.137
Maize,3.27,29.5,20.8,215.6,2.426
Soybean,2.06,241.6,26.9,22.9,0.998
Chickpea,12.62,226.6,35.9,21.6,0.38
Tomato,3.26,194.2,19.4,146.3,12.228
Banana,5.99,316.2,40.3,35.4,18.475
Potato,13.48,301.1,15.8,11.1,5.854
Cotton,7.79,241.5,36.1,6.3,0.511
Mustard,7.93,294.8,32.0,181.9,0.461
Sugarcane,11.11,170.5,32.0,209.9,36.48
Sugarcane,16.15,87.5,29.2,160.3,31.473
Chickpea,24.7,215.9,37.8,162.2,0.434
Millets,1.24,391.3,41.0,114.0,0.711
Mustard,1.85,325.3,24.3,123.8,0.55
Wheat,15.54,308.3,38.8,109.1,0.758
Rice,21.42,344.4,22.6,45.6,1.503
Wheat,19.04,294.3,14.1,216.5,1.141
Soybean,1.61,24.5,15.8,86.0,1.053
Potato,18.34,399.7,32.4,21.9,3.947
Maize,22.21,226.8,19.4,161.2,1.966
Potato,13.1,56.0,24.4,184.8,10.239
Mustard,6.71,144.9,22.1,29.8,0.493
Onion,18.23,172.5,21.0,154.2,7.722
Mustard,20.01,165.1,28.3,7.0,0.433
Groundnut,6.3,356.6,12.6,154.0,0.653
Onion,6.8,82.6,20.3,201.1,11.318
Cotton,11.69,120.5,32.9,73.5,0.794
Groundnut,22.81,218.2,14.1,165.4,0.822
Rice,11.8,392.1,18.8,185.7,1.54
Tomato,13.73,62.7,16.0,93.0,11.564
Chickpea,5.76,200.5,13.9,65.8,0.474
Soybean,5.23,58.3,13.6,114.8,1.084
Millets,5.3,114.1,21.6,2.1,0.78
Cotton,8.35,238.2,21.8,5.9,0.427
Onion,18.18,146.9,19.2,58.1,8.345
Maize,19.0,95.6,33.2,212.2,2.704
Groundnut,12.94,157.3,30.0,193.8,1.299
Mustard,19.06,214.3,35.2,194.6,0.393
Groundnut,1.99,113.2,35.6,4.3,1.04
Onion,20.59,326.5,14.2,149.5,5.324
Potato,3.08,204.5,31.5,75.3,6.919
Groundnut,19.47,110.1,25.0,113.6,1.377
Wheat,11.06,77.9,19.0,78.4,2.143
Soybean,2.25,153.1,13.2,55.2,0.956
Groundnut,4.6,210.9,39.8,42.8,0.927
Chickpea,8.73,172.5,15.3,140.1,0.725
Rice,20.12,244.8,34.2,36.1,1.724
Soybean,11.61,260.3,24.4,147.9,1.098
Tomato,7.84,355.0,34.0,15.0,5.396
Groundnut,15.98,371.3,32.3,45.8,0.713
Onion,13.54,208.6,40.1,155.8,5.747
Chickpea,16.69,234.0,29.4,111.6,0.501
Onion,6.25,367.8,28.8,96.2,6.372
Millets,14.81,77.7,12.1,57.0,0.806
Sugarcane,23.56,241.1,24.2,216.3,28.283
Chickpea,23.57,282.2,27.8,180.8,0.572
Millets,9.51,98.6,19.7,30.0,0.967
Mustard,10.9,158.4,23.6,185.6,0.671
Rice,16.75,281.9,36.1,84.7,2.05
Mustard,6.33,375.2,34.8,99.7,0.446
Sugarcane,18.7,380.4,39.8,157.1,25.131
Soybean,2.6,120.8,28.9,200.9,1.551
Wheat,8.0,159.2,21.3,116.6,1.742
Chickpea,22.21,218.3,31.7,209.9,0.515
Onion,4.59,144.2,14.3,24.3,7.276
Mustard,5.13,141.6,22.1,184.8,0.774
Onion,1.33,257.1,27.8,0.6,4.737
Banana,13.92,274.9,13.5,38.0,19.2
Soybean,4.71,64.3,21.7,93.9,1.106
Rice,23.27,193.7,26.2,68.5,2.126
Potato,4.71,45.7,33.1,76.8,8.452
Millets,6.74,359.5,36.7,66.8,0.682
Onion,24.83,331.5,39.8,3.7,3.367
Soybean,9.68,54.6,34.5,115.6,1.071
Sugarcane,3.35,399.0,22.5,209.3,29.696
Chickpea,19.66,233.1,17.7,41.2,0.569
Wheat,24.96,238.9,17.6,74.9,1.012
Onion,10.31,163.7,36.0,212.0,7.25
Potato,10.65,223.9,19.4,88.4,9.313
Soybean,19.77,148.9,33.2,18.2,0.945
Rice,16.51,332.2,18.1,121.2,1.838
Mustard,3.56,151.0,41.0,34.6,0.362
Sugarcane,24.94,169.4,16.5,122.9,27.23
Millets,1.39,234.8,30.7,0.8,0.582
Soybean,23.65,171.3,40.6,212.0,0.906
Mustard,20.84,289.5,34.8,57.4,0.363
Potato,6.27,265.0,38.5,79.1,5.871
Banana,23.25,190.3,30.1,31.2,21.165
Tomato,1.03,201.1,28.4,19.0,9.4
Onion,22.34,57.7,26.7,173.6,10.881
Sugarcane,17.48,120.9,15.6,34.7,22.483
Wheat,8.78,86.7,25.0,73.6,1.741
Cotton,1.33,195.8,15.4,117.8,0.613
Banana,4.09,254.3,24.4,79.1,24.481
Chickpea,24.86,169.2,25.7,20.8,0.522
Maize,18.63,45.5,20.9,164.0,2.238
Sugarcane,1.34,320.0,41.0,82.8,28.42
Onion,14.1,300.7,31.0,69.2,5.464
Soybean,13.84,270.6,29.2,28.2,1.021
Rice,4.1,355.7,26.0,174.1,2.286
Onion,9.3,387.5,29.0,22.4,5.016
Maize,17.9,68.9,37.7,211.0,2.268
Soybean,4.05,231.9,16.9,97.3,0.964
Groundnut,23.73,288.1,22.8,91.5,0.792
Wheat,12.16,395.1,13.9,59.7,1.063
Millets,9.23,217.6,19.8,36.2,0.539
Wheat,2.52,94.5,13.8,209.6,2.195
Mustard,23.96,308.3,20.0,193.4,0.526
Rice,18.65,245.0,29.5,213.2,2.223
Banana,3.26,286.3,41.7,2.2,16.637
Mustard,19.73,298.8,34.0,216.1,0.489
Soybean,16.21,98.2,18.4,143.0,1.216
Tomato,15.2,195.5,32.6,70.8,8.652
Onion,15.62,328.7,24.5,168.1,6.223
Potato,10.93,226.2,39.3,66.1,6.297
Banana,10.64,348.4,16.7,7.8,16.345
Potato,21.97,150.6,32.5,50.8,8.031
Onion,6.51,167.2,19.9,22.1,6.434
Chickpea,14.31,54.2,22.7,101.8,1.097
Wheat,23.59,219.3,36.1,21.2,0.759
Potato,9.15,296.8,38.3,156.7,5.425
Potato,18.73,31.3,17.1,149.7,10.172
Potato,2.02,358.0,40.6,82.2,4.123
Chickpea,14.12,303.9,40.1,160.0,0.469
Mustard,5.23,184.1,17.6,4.7,0.437
Wheat,2.83,351.2,15.7,138.7,1.323
Cotton,24.49,116.5,19.1,138.0,0.812
Millets,4.74,134.2,12.2,158.7,0.743
Mustard,6.28,249.9,19.6,12.5,0.395
Potato,15.09,199.0,26.7,219.3,8.972
Mustard,4.45,348.9,28.0,218.9,0.569
Groundnut,14.7,26.6,39.2,115.1,1.101
Onion,5.64,153.1,20.6,6.1,6.876
Wheat,14.93,144.2,14.6,165.3,1.47
Banana,0.56,397.5,20.0,57.7,17.902
Cotton,21.11,262.2,26.8,71.9,0.499
Millets,8.48,347.8,32.4,89.5,0.643
Rice,2.38,159.9,41.5,5.3,1.634
Maize,8.87,395.2,22.3,149.2,1.687
Sugarcane,2.7,76.4,19.8,175.1,32.659
Tomato,4.67,164.1,16.2,104.1,9.013
Wheat,10.02,39.0,27.6,199.6,1.483
Millets,20.55,178.4,29.1,110.5,0.863
Banana,9.79,311.5,13.5,60.0,18.689
Chickpea,14.44,337.0,28.6,100.8,0.536
Banana,7.74,69.3,37.0,195.9,22.144
Millets,13.94,317.7,12.7,217.1,0.526
Chickpea,1.65,62.4,21.6,202.7,1.221
Rice,8.48,191.4,20.0,137.3,2.142
Mustard,17.31,168.8,36.2,131.7,0.396
Soybean,4.5,117.3,39.5,181.2,1.376
Soybean,22.9,155.0,30.6,86.1,1.07
Onion,24.93,303.3,35.4,193.8,5.542
Maize,18.45,249.9,28.2,84.9,2.102
Groundnut,23.1,299.0,30.4,18.8,0.734
Mustard,3.58,76.6,14.4,64.7,0.833
Groundnut,18.44,247.8,27.2,217.1,0.944
Cotton,5.14,120.6,21.9,217.9,0.953
Banana,11.49,340.9,19.0,130.4,19.937
Groundnut,5.95,242.6,24.9,122.9,0.926
Potato,12.91,140.2,16.3,110.1,10.34
Millets,8.42,226.3,26.5,29.6,0.588
Soybean,14.14,336.9,13.8,20.0,0.59
Banana,6.79,107.3,41.1,112.4,21.358
Cotton,10.45,119.0,17.1,215.3,0.912
Soybean,22.51,98.1,15.8,57.3,1.107
Tomato,9.86,205.9,12.6,0.9,6.531
Sugarcane,19.88,381.5,39.8,102.4,22.299
Maize,12.35,59.5,40.3,147.7,2.125
Cotton,6.5,305.6,24.1,190.1,0.532
Onion,8.35,229.4,19.1,176.1,5.785
Banana,22.23,123.6,15.6,136.4,23.014
Millets,6.72,227.1,28.1,118.3,0.789
Cotton,5.0,293.7,26.0,103.3,0.462
Maize,22.99,44.7,35.9,54.5,2.186
Mustard,4.06,376.9,28.7,76.9,0.499
Maize,7.6,44.3,23.8,155.6,2.38
Potato,13.0,221.2,23.2,18.3,6.967
Groundnut,18.24,327.8,23.9,72.4,0.68
Rice,14.45,198.2,25.3,0.3,1.582
Rice,4.75,62.9,23.6,171.3,2.036
Millets,13.96,193.0,12.8,61.1,0.521
Chickpea,14.08,270.4,41.6,111.6,0.386
Soybean,7.33,192.4,33.6,124.3,1.174
Millets,14.37,370.5,16.5,176.8,0.531
Maize,3.24,240.7,20.7,31.7,1.769
Rice,12.45,164.6,28.1,189.5,2.509
Groundnut,20.65,347.8,23.3,33.0,0.582
Groundnut,16.15,375.8,13.2,109.4,0.681
Chickpea,21.49,319.0,41.1,106.6,0.375
Chickpea,22.51,285.1,40.9,54.0,0.362
Mustard,21.38,40.1,36.3,102.1,0.678
Maize,18.77,181.3,16.4,135.7,2.241
Tomato,6.06,352.3,14.1,2.2,5.158
Rice,19.32,116.5,41.0,156.7,1.625
Millets,21.69,273.7,29.6,91.7,0.736
Groundnut,15.53,78.5,36.3,46.1,0.998
Groundnut,20.47,197.8,24.0,114.7,1.061
Wheat,22.08,150.6,17.6,191.2,1.599
Rice,4.37,347.6,40.2,98.5,1.916
Potato,1.16,134.9,26.8,95.2,10.346
Tomato,24.37,126.6,40.4,125.7,10.617
Maize,15.08,394.5,37.2,66.8,1.348
Tomato,2.92,133.1,39.5,143.8,11.249
Groundnut,13.74,83.9,16.5,168.5,1.257
Tomato,4.88,157.4,16.0,45.0,9.657
Groundnut,18.06,343.7,38.2,129.7,0.756
Soybean,0.96,330.6,36.1,111.8,0.892
Groundnut,4.73,48.7,21.7,206.2,1.361
Tomato,13.45,187.5,15.7,15.7,7.557
Millets,15.17,185.0,20.6,2.9,0.529
Banana,15.35,80.1,35.8,32.7,19.824
Onion,13.06,292.4,14.5,163.0,5.795
Potato,3.87,304.5,24.5,142.5,7.13
Maize,5.0,303.5,18.0,17.7,1.286
Rice,8.99,221.4,29.3,82.0,2.607
Mustard,6.79,80.0,39.3,162.8,0.688
Wheat,0.55,304.6,26.5,170.4,1.288
Mustard,9.26,249.8,21.1,196.6,0.621
Rice,22.25,58.3,26.8,127.9,1.779
Cotton,3.44,35.0,24.5,99.8,0.879
Soybean,15.17,99.8,39.0,42.6,1.046
Onion,23.68,391.6,20.5,30.2,4.739
Onion,10.02,231.4,32.7,73.1,4.644
Soybean,15.45,47.1,33.0,175.8,1.147
Wheat,12.92,352.0,26.7,173.2,1.17
Onion,17.87,52.0,12.8,110.5,6.918
Chickpea,19.47,229.1,34.0,172.4,0.459
Cotton,24.65,96.8,14.5,70.1,0.712
Banana,11.94,237.1,36.2,186.1,22.884
Wheat,7.22,279.9,37.8,37.0,0.711
Groundnut,4.93,148.3,35.8,163.4,1.142
Sugarcane,18.0,174.2,18.3,185.5,31.733
Mustard,19.83,295.0,29.1,178.2,0.506
Banana,14.98,119.2,31.2,148.4,23.142
Onion,14.89,377.4,31.9,106.5,4.973
Maize,20.56,298.5,25.1,108.1,1.801
Mustard,7.47,287.4,38.2,121.5,0.392
Mustard,1.11,275.8,18.7,8.6,0.519
Cotton,14.01,83.6,30.1,90.4,0.903
Potato,21.92,49.8,27.8,38.2,7.652
Wheat,16.91,250.4,39.7,174.8,0.874
Potato,16.08,255.7,31.4,94.4,6.977
Banana,19.84,202.9,35.6,87.0,23.246
Groundnut,12.75,228.2,15.5,146.3,0.924
Groundnut,9.73,175.8,37.8,219.6,1.198
