crop,soil_type,nitrogen,phosphorus,potassium,fertilizer
Potato,Red,63.3,54.1,114.6,Organic Compost
Rice,Laterite,62.7,134.0,70.4,Urea
Millets,Clay,37.0,32.1,22.3,NPK 20-20-20
Chickpea,Red,94.6,75.6,115.6,Organic Compost
Sugarcane,Alluvial,47.4,72.8,112.5,Urea
Soybean,Loamy,113.2,60.9,7.8,MOP
Tomato,Loamy,113.2,54.9,82.4,Organic Compost
Chickpea,Laterite,20.6,103.8,39.2,Urea
Mustard,Red,60.5,80.7,95.6,Organic Compost
Mustard,Laterite,67.5,19.6,73.0,DAP
Groundnut,Laterite,131.3,21.8,103.2,DAP
Banana,Sandy,92.8,3.1,103.9,DAP
Onion,Loamy,7.1,26.4,127.5,Urea
Wheat,Laterite,26.5,88.5,103.7,Urea
Chickpea,Loamy,38.6,9.9,37.3,NPK 20-20-20
Wheat,Desert,11.1,54.4,93.4,Urea
Onion,Sandy,64.8,37.4,67.6,DAP
Potato,Sandy,24.0,69.5,134.3,Urea
Chickpea,Black,131.0,34.2,105.2,DAP
Soybean,Clay,25.3,55.2,135.2,Urea
Wheat,Red,0.1,1.0,38.4,NPK 20-20-20
Millets,Laterite,129.1,107.0,129.5,Organic Compost
Soybean,Laterite,79.3,52.1,29.5,MOP
Cotton,Sandy,45.6,62.5,31.6,Urea
Sugarcane,Red,122.6,74.0,57.6,Organic Compost
Wheat,Desert,114.4,69.3,49.9,Organic Compost
Millets,Clay,137.0,64.0,93.6,Organic Compost
Banana,Alluvial,35.4,2.0,71.3,Urea
Rice,Sandy,86.1,23.5,94.3,DAP
Banana,Alluvial,135.8,3.8,47.8,DAP
Soybean,Red,53.4,101.2,84.3,Urea
Banana,Desert,15.1,65.8,33.5,NPK 10-26-26
Millets,Laterite,30.3,56.3,31.6,Urea
Onion,Clay,128.8,29.1,49.0,NPK 10-26-26
Cotton,Red,41.0,67.6,123.7,Urea
Banana,Sandy,92.5,128.9,72.4,Organic Compost
Potato,Desert,102.0,68.9,43.9,MOP
Groundnut,Black,134.8,49.3,100.4,Organic Compost
Groundnut,Alluvial,65.8,4.1,110.6,DAP
Wheat,Alluvial,70.0,134.6,39.8,MOP
Rice,Red,0.9,74.3,33.5,Urea
Maize,Black,96.2,94.3,95.1,Organic Compost
Tomato,Desert,116.8,78.1,49.1,MOP
Tomato,Black,46.6,58.2,53.9,Urea
Groundnut,Sandy,105.9,47.3,132.3,Organic Compost
Mustard,Sandy,4.1,52.0,64.0,Urea
Mustard,Loamy,95.0,107.4,132.8,Organic Compost
Potato,Black,114.1,47.3,113.9,Organic Compost
Banana,Loamy,138.9,60.0,64.5,Organic Compost
Maize,Desert,33.2,10.9,73.2,Urea
Soybean,Sandy,113.8,46.0,81.1,Organic Compost
Rice,Laterite,88.5,63.0,47.2,Organic Compost
Chickpea,Laterite,16.2,69.4,19.4,Urea
Wheat,Clay,112.3,63.0,77.4,Organic Compost
Maize,Laterite,41.8,53.5,74.9,Urea
Soybean,Red,127.9,102.5,9.3,MOP
Wheat,Black,13.7,24.3,130.6,Urea
Maize,Alluvial,90.0,72.6,51.2,Organic Compost
Mustard,Laterite,55.3,74.9,7.2,MOP
Tomato,Clay,74.1,69.5,47.2,MOP
Tomato,Laterite,96.1,6.3,0.2,Urea
Tomato,Black,79.8,95.4,58.9,MOP
Cotton,Loamy,83.6,118.3,114.7,Organic Compost
Groundnut,Clay,123.2,77.7,83.3,Organic Compost
Rice,Black,50.5,127.8,73.2,Urea
Soybean,Laterite,22.5,49.9,76.3,Urea
Cotton,Laterite,2.6,62.3,4.1,Urea
Mustard,Sandy,17.6,128.3,88.3,Urea
Banana,Laterite,13.6,3.1,128.2,Urea
Cotton,Clay,87.1,126.9,125.4,Organic Compost
Rice,Black,55.4,47.8,73.6,Urea
Chickpea,Clay,1.0,110.8,55.1,NPK 20-20-20
Mustard,Loamy,101.5,123.0,4.8,MOP
Groundnut,Alluvial,13.7,132.4,112.8,Urea
Wheat,Loamy,128.7,30.9,2.0,NPK 10-26-26
Tomato,Laterite,22.4,68.6,22.5,Urea
Onion,Alluvial,38.7,109.3,66.3,Urea
Tomato,Clay,63.1,41.0,28.6,MOP
Potato,Desert,39.3,135.4,113.4,Urea
Potato,Desert,76.2,14.3,135.0,DAP
Maize,Loamy,62.1,31.1,68.7,Urea
Rice,Sandy,101.0,126.9,27.7,MOP
Mustard,Laterite,52.3,53.1,138.0,Urea
Mustard,Sandy,57.0,82.0,63.1,Urea
Banana,Loamy,117.9,54.7,81.5,Organic Compost
Wheat,Desert,27.8,86.6,69.4,Urea
Onion,Red,88.2,109.2,131.8,Organic Compost
Rice,Clay,22.8,137.8,118.9,Urea
Soybean,Laterite,29.4,80.2,52.1,Urea
Groundnut,Black,10.2,53.0,129.7,Urea
Wheat,Loamy,32.8,102.8,56.9,Urea
Onion,Loamy,18.4,119.5,117.6,Urea
Soybean,Alluvial,50.9,21.6,90.9,DAP
Potato,Red,20.9,71.8,3.3,MOP
Onion,Clay,8.0,46.7,50.1,Urea
Wheat,Clay,19.7,132.6,122.6,Urea
Cotton,Alluvial,23.5,134.3,49.8,Urea
Soybean,Black,99.6,33.7,45.0,DAP
Onion,Sandy,40.4,112.2,105.3,Urea
Sugarcane,Laterite,73.1,49.1,100.9,Urea
Tomato,Red,17.7,102.6,82.8,Urea
Wheat,Clay,115.9,17.0,53.7,DAP
Groundnut,Loamy,60.9,31.4,132.5,DAP
Tomato,Alluvial,108.9,120.6,2.4,MOP
Banana,Sandy,38.4,37.8,54.5,Urea
Sugarcane,Black,42.1,38.2,50.5,Urea
Potato,Sandy,104.6,47.5,80.7,Organic Compost
Rice,Sandy,90.6,128.8,4.2,MOP
Chickpea,Red,117.2,86.4,32.1,MOP
Banana,Laterite,97.8,40.0,18.5,NPK 10-26-26
Banana,Loamy,134.9,56.9,48.9,Organic Compost
Potato,Clay,45.2,10.2,43.7,NPK 20-20-20
Groundnut,Sandy,33.0,64.2,94.2,Urea
Mustard,Loamy,118.6,81.8,67.5,Organic Compost
Chickpea,Black,114.9,57.2,85.6,Organic Compost
Millets,Alluvial,60.9,116.1,42.1,MOP
Cotton,Red,42.9,17.2,134.0,DAP
Millets,Laterite,5.5,33.0,36.4,NPK 20-20-20
Onion,Desert,24.5,24.3,96.8,Urea
Banana,Red,108.2,4.3,115.4,DAP
Soybean,Clay,89.2,131.8,54.6,Organic Compost
Banana,Laterite,37.6,128.9,109.1,Urea
Onion,Red,117.8,44.1,135.0,MOP
Millets,Loamy,15.7,100.6,50.9,Urea
Groundnut,Clay,51.5,113.4,95.4,Urea
Potato,Red,29.4,8.8,72.4,DAP
Banana,Laterite,133.1,1.9,119.0,DAP
Wheat,Clay,73.5,26.6,120.8,DAP
Maize,Clay,33.0,77.6,58.2,Urea
Groundnut,Clay,24.3,24.4,6.1,NPK 20-20-20
Potato,Black,10.2,49.8,94.5,Urea
Soybean,Red,11.7,106.3,54.8,Urea
Rice,Laterite,135.8,52.2,134.3,Organic Compost
Chickpea,Alluvial,22.0,108.3,75.3,Urea
Chickpea,Desert,70.7,16.4,100.6,DAP
Millets,Loamy,119.6,66.8,44.0,MOP
Sugarcane,Black,43.1,70.6,35.6,Urea
Potato,Laterite,54.7,139.6,15.6,MOP
Soybean,Clay,18.2,128.5,94.1,Urea
Banana,Red,50.3,115.6,8.1,MOP
Sugarcane,Loamy,98.8,7.6,104.0,DAP
Mustard,Red,124.9,18.5,134.5,DAP
Rice,Clay,96.6,19.2,25.9,DAP
Soybean,Clay,5.3,88.6,81.5,Urea
Rice,Laterite,41.9,134.0,110.0,Urea
Tomato,Sandy,116.1,135.0,63.5,Organic Compost
Rice,Alluvial,15.1,68.7,63.6,Urea
Rice,Loamy,75.4,121.9,48.4,Organic Compost
Millets,Sandy,90.8,116.2,43.3,MOP
Millets,Clay,95.2,45.1,59.3,Organic Compost
Rice,Desert,20.2,105.6,2.8,Urea
Soybean,Desert,61.3,86.8,53.4,Organic Compost
Chickpea,Sandy,124.2,2.4,131.5,DAP
Cotton,Loamy,101.6,54.4,86.3,Organic Compost
Soybean,Alluvial,72.2,100.3,54.9,Organic Compost
Mustard,Black,6.4,75.7,30.1,Urea
Maize,Black,1.2,94.6,70.1,Urea
Wheat,Alluvial,17.3,3.2,62.2,Urea
Sugarcane,Desert,10.1,128.9,75.7,Urea
Onion,Desert,12.5,49.5,72.9,Urea
Wheat,Desert,38.2,137.4,38.2,Urea
Cotton,Clay,42.5,59.0,87.3,Urea
Soybean,Desert,21.9,6.4,110.7,Urea
Tomato,Black,63.8,100.3,22.9,MOP
Cotton,Alluvial,137.6,40.0,101.6,DAP
Cotton,Clay,64.7,121.9,105.6,Organic Compost
Mustard,Black,36.4,138.8,129.6,Urea
Sugarcane,Clay,15.0,28.2,40.6,NPK 20-20-20
Maize,Black,123.5,136.1,39.4,MOP
Wheat,Loamy,28.8,102.4,81.2,Urea
Chickpea,Loamy,42.3,21.9,137.5,DAP
Banana,Black,33.3,44.7,60.7,Urea
Rice,Desert,78.3,0.8,53.9,DAP
Soybean,Black,103.7,42.6,68.3,Organic Compost
Onion,Alluvial,99.5,63.9,10.2,MOP
Banana,Sandy,50.3,3.3,60.9,DAP
Rice,Red,77.7,31.7,72.7,DAP
Potato,Laterite,122.4,53.4,87.2,Organic Compost
Groundnut,Red,125.6,61.7,106.0,Organic Compost
Tomato,Sandy,3.4,0.0,123.6,Urea
Mustard,Laterite,40.9,110.3,112.2,Urea
Millets,Red,19.4,95.3,84.6,Urea
Tomato,Loamy,123.9,19.9,59.1,NPK 10-26-26
Maize,Red,93.9,42.7,8.5,MOP
Millets,Desert,114.7,52.7,13.8,MOP
Cotton,Laterite,0.4,66.5,9.7,Urea
Rice,Laterite,118.2,107.0,93.9,Organic Compost
Millets,Sandy,66.0,13.8,42.1,NPK 10-26-26
Mustard,Alluvial,35.3,47.0,64.9,Urea
Groundnut,Loamy,27.7,83.6,33.5,Urea
Chickpea,Loamy,91.9,4.3,74.9,DAP
Mustard,Black,74.5,62.7,119.0,Organic Compost
Rice,Desert,91.3,78.6,40.9,MOP
Sugarcane,Black,58.3,39.8,93.8,Urea
Soybean,Desert,31.1,123.9,118.4,Urea
Onion,Sandy,37.5,122.9,83.9,Urea
Sugarcane,Black,22.0,38.8,71.6,Urea
Groundnut,Desert,1.8,11.2,45.6,Urea
Maize,Laterite,100.5,139.1,28.3,MOP
Millets,Clay,38.1,98.5,81.7,Urea
Millets,Alluvial,137.2,135.0,3.1,MOP
Potato,Laterite,35.6,136.9,24.4,MOP
Onion,Alluvial,81.2,120.5,87.1,Organic Compost
Soybean,Alluvial,100.1,57.3,66.3,Organic Compost
Soybean,Desert,104.7,95.7,60.5,NPK 10-26-26
Chickpea,Alluvial,98.6,85.1,42.1,MOP
Tomato,Clay,98.4,135.9,73.5,Organic Compost
Wheat,Sandy,22.6,26.9,29.1,NPK 20-20-20
Tomato,Loamy,75.8,52.8,92.3,Organic Compost
Rice,Loamy,46.4,129.6,82.5,Urea
Millets,Laterite,77.4,19.4,98.6,DAP
Onion,Loamy,103.3,91.5,51.3,MOP
Chickpea,Sandy,80.5,42.0,16.9,MOP
Sugarcane,Sandy,23.1,118.9,98.3,Urea
Maize,Laterite,86.4,130.5,39.6,MOP
Cotton,Laterite,125.6,39.4,68.8,DAP
Maize,Black,42.2,73.0,134.1,Urea
Millets,Alluvial,8.9,36.8,9.7,NPK 20-20-20
Potato,Red,111.8,64.9,56.7,MOP
Maize,Clay,42.2,9.3,15.4,NPK 20-20-20
Millets,Loamy,66.6,20.7,73.7,DAP
Mustard,Sandy,11.6,45.1,96.7,Urea
Cotton,Alluvial,128.0,63.9,92.9,Organic Compost
Maize,Desert,8.6,37.2,112.4,Urea
Chickpea,Clay,81.7,37.6,33.7,NPK 10-26-26
Cotton,Alluvial,38.4,57.3,128.9,Urea
Soybean,Red,49.5,8.5,10.5,DAP
Maize,Black,89.7,27.5,52.9,DAP
Rice,Alluvial,29.3,139.4,83.6,Urea
Chickpea,Loamy,135.2,20.2,9.4,NPK 10-26-26
Maize,Alluvial,78.6,0.2,48.8,DAP
Mustard,Loamy,78.4,22.0,41.3,NPK 10-26-26
Rice,Alluvial,83.3,72.4,48.2,Organic Compost
Tomato,Clay,53.5,11.2,134.7,DAP
Sugarcane,Clay,2.0,51.0,72.1,Urea
Onion,Sandy,75.8,110.9,82.8,Organic Compost
Sugarcane,Sandy,6.3,127.8,82.9,Urea
Cotton,Black,52.2,6.5,23.7,NPK 20-20-20
Groundnut,Desert,6.2,76.4,65.0,Urea
Sugarcane,Red,83.9,0.2,106.7,DAP
Onion,Sandy,124.5,15.3,83.9,DAP
Chickpea,Desert,61.2,39.7,0.2,NPK 10-26-26
Rice,Loamy,60.8,1.6,56.2,DAP
Cotton,Loamy,100.4,138.8,3.9,MOP
Groundnut,Alluvial,87.6,137.7,99.9,Organic Compost
Mustard,Sandy,38.5,81.7,73.1,Urea
Wheat,Black,29.0,60.0,121.4,Urea
Millets,Sandy,86.9,139.0,50.1,Organic Compost
Mustard,Red,61.0,112.7,63.4,Organic Compost
Wheat,Desert,100.1,21.4,72.8,DAP
Soybean,Red,60.3,84.6,71.3,Organic Compost
Groundnut,Red,41.2,17.0,9.1,NPK 20-20-20
Banana,Black,124.4,129.5,32.3,MOP
Sugarcane,Black,52.9,122.0,138.4,Urea
Mustard,Black,52.0,31.8,139.0,DAP
Onion,Sandy,37.0,69.5,15.5,MOP
Groundnut,Red,58.7,50.8,81.2,Urea
Chickpea,Alluvial,117.8,62.4,116.8,Organic Compost
Banana,Red,94.4,56.0,68.0,Organic Compost
Potato,Loamy,104.6,49.6,82.0,Organic Compost
Cotton,Clay,33.6,78.6,14.9,MOP
Rice,Laterite,3.6,85.4,4.8,Urea
Onion,Laterite,135.1,76.4,43.7,MOP
Soybean,Laterite,86.7,37.5,27.6,NPK 10-26-26
Chickpea,Loamy,114.3,83.0,96.9,Organic Compost
Tomato,Black,89.0,33.1,130.8,DAP
Chickpea,Laterite,78.5,119.5,15.9,MOP
Potato,Desert,20.2,120.7,36.0,Urea
Wheat,Loamy,130.8,109.5,46.9,Organic Compost
Groundnut,Black,86.2,105.2,98.4,Organic Compost
Sugarcane,Laterite,77.9,130.0,20.3,MOP
Mustard,Sandy,43.1,62.0,108.2,Urea
Onion,Desert,24.5,42.2,42.4,Urea
Maize,Laterite,39.6,112.3,136.3,Urea
Mustard,Desert,26.8,90.6,138.8,Urea
Millets,Desert,36.0,36.7,132.0,Urea
Sugarcane,Loamy,49.0,50.6,57.2,Urea
Chickpea,Laterite,59.6,61.7,70.8,Urea
Potato,Sandy,70.5,71.3,29.4,NPK 20-20-20
Rice,Clay,119.8,33.8,50.4,DAP
Cotton,Sandy,26.2,137.0,8.7,MOP
Maize,Alluvial,44.5,35.1,36.3,NPK 20-20-20
Wheat,Laterite,16.7,137.5,34.0,Urea
Maize,Alluvial,64.9,128.6,2.4,MOP
Chickpea,Red,30.7,98.5,104.7,Urea
Onion,Black,0.9,103.2,83.9,Urea
Millets,Black,106.7,9.9,90.0,DAP
Potato,Black,67.7,72.8,82.8,Organic Compost
Potato,Loamy,9.4,48.3,88.0,Urea
Rice,Clay,26.6,20.0,32.3,NPK 20-20-20
Onion,Sandy,72.8,42.0,128.6,Organic Compost
Mustard,Laterite,105.4,127.9,43.9,MOP
Cotton,Loamy,57.2,106.6,75.2,Urea
Sugarcane,Red,94.0,7.5,47.9,NPK 20-20-20
Mustard,Red,10.8,110.1,12.5,Urea
Wheat,Clay,115.0,25.6,11.8,NPK 10-26-26
Soybean,Desert,116.1,40.0,28.9,MOP
Millets,Sandy,28.7,124.3,2.8,MOP
Sugarcane,Loamy,115.8,59.6,10.8,MOP
Rice,Clay,122.9,105.3,137.4,Organic Compost
Sugarcane,Laterite,57.3,97.5,44.2,Urea
Sugarcane,Red,92.8,47.9,7.7,MOP
Sugarcane,Red,42.5,18.1,102.9,Urea
Mustard,Desert,109.1,38.1,39.8,NPK 10-26-26
Potato,Red,83.6,21.8,133.4,DAP
Cotton,Laterite,74.3,54.8,53.5,Organic Compost
Maize,Laterite,30.1,21.0,24.4,NPK 20-20-20
Wheat,Red,91.2,137.9,80.8,Organic Compost
Millets,Clay,9.4,14.3,132.7,Urea
Banana,Desert,18.6,107.6,32.9,Urea
Millets,Black,57.6,93.9,124.2,Urea
Banana,Clay,22.2,128.6,78.7,Urea
Rice,Alluvial,3.5,133.5,66.3,Urea
Rice,Loamy,33.2,78.4,122.6,Urea
Sugarcane,Black,77.1,5.6,53.0,DAP
Cotton,Clay,89.3,7.1,100.8,DAP
Rice,Clay,94.3,78.6,43.1,MOP
Mustard,Clay,99.0,3.5,57.9,DAP
Wheat,Red,48.0,62.0,82.2,Urea
Tomato,Black,35.6,118.6,7.7,MOP
Tomato,Red,62.6,89.2,74.3,Organic Compost
Wheat,Sandy,32.6,75.1,103.0,Urea
Chickpea,Black,74.1,76.7,43.5,MOP
Groundnut,Laterite,4.6,103.8,117.9,Urea
Maize,Laterite,136.5,51.9,56.8,Organic Compost
Groundnut,Loamy,77.7,135.3,33.2,MOP
Groundnut,Loamy,70.6,99.8,133.7,Organic Compost
Soybean,Clay,34.5,29.2,42.9,NPK 20-20-20
Millets,Red,27.5,57.6,44.5,Urea
Maize,Alluvial,19.4,76.5,12.4,Urea
Banana,Desert,81.1,77.7,90.0,Organic Compost
Cotton,Laterite,104.1,93.4,11.2,MOP
Maize,Loamy,12.6,39.7,34.0,NPK 20-20-20
Rice,Alluvial,80.9,102.9,139.9,Organic Compost
Banana,Loamy,91.2,128.9,111.6,Organic Compost
Chickpea,Desert,35.3,35.7,76.6,Urea
Tomato,Red,44.0,100.3,21.3,MOP
Maize,Loamy,82.0,11.3,133.6,DAP
Groundnut,Laterite,92.8,111.0,17.1,MOP
Maize,Sandy,70.9,129.3,6.7,MOP
Mustard,Alluvial,21.8,60.3,86.9,Urea
Millets,Laterite,46.8,111.7,57.4,Urea
Maize,Clay,136.2,19.8,132.8,DAP
Chickpea,Desert,16.5,89.8,117.6,Urea
Banana,Red,63.3,16.1,21.4,NPK 20-20-20
Rice,Red,88.8,14.3,34.2,NPK 10-26-26
Millets,Loamy,118.7,27.2,18.1,NPK 10-26-26
Wheat,Clay,57.4,72.2,11.2,MOP
Wheat,Sandy,93.6,30.7,49.9,DAP
Groundnut,Red,16.2,39.7,14.9,Urea
Banana,Desert,63.8,74.7,35.7,NPK 10-26-26
Onion,Alluvial,136.2,3.0,19.2,NPK 10-26-26
Onion,Sandy,8.9,42.1,12.3,Urea
Cotton,Black,89.2,54.0,107.6,Organic Compost
Banana,Sandy,71.5,134.2,40.6,MOP
Mustard,Clay,125.1,132.5,55.3,Organic Compost
Mustard,Red,90.9,25.8,59.0,DAP
Cotton,Red,69.5,20.6,55.8,DAP
Mustard,Sandy,126.9,68.8,12.5,MOP
Rice,Red,55.5,32.2,23.0,NPK 20-20-20
Wheat,Black,68.2,114.9,128.4,Organic Compost
Onion,Sandy,130.1,116.6,41.0,MOP
Millets,Desert,118.4,115.2,90.1,Organic Compost
Onion,Clay,93.2,6.5,64.5,NPK 20-20-20
Wheat,Alluvial,75.7,6.6,127.9,DAP
Mustard,Sandy,20.7,118.7,66.9,Urea
Groundnut,Sandy,75.6,78.8,104.2,Organic Compost
Chickpea,Red,129.1,49.5,38.1,MOP
Wheat,Red,44.4,118.1,78.6,Urea
Chickpea,Alluvial,86.0,13.4,64.2,DAP
Cotton,Sandy,104.4,33.3,27.1,NPK 10-26-26
Tomato,Black,94.7,72.5,115.8,Organic Compost
Groundnut,Laterite,127.7,108.8,20.9,MOP
Wheat,Laterite,99.3,98.4,124.0,Organic Compost
Onion,Clay,44.9,136.2,92.6,Urea
Soybean,Clay,17.3,47.1,117.0,Urea
Groundnut,Clay,67.5,35.2,73.5,DAP
Soybean,Desert,79.4,54.9,69.8,Organic Compost
Cotton,Loamy,32.1,70.0,65.2,Urea
Wheat,Sandy,37.6,69.0,61.7,Urea
Chickpea,Loamy,95.7,20.0,40.4,NPK 10-26-26
Potato,Desert,6.3,10.3,130.7,Urea
Millets,Desert,116.0,16.9,14.4,NPK 10-26-26
Banana,Red,75.4,33.1,84.1,DAP
Rice,Sandy,6.5,83.3,92.5,Urea
Soybean,Clay,87.8,1.3,133.1,DAP
Millets,Black,12.1,52.4,43.1,Urea
Wheat,Clay,90.4,18.6,99.1,DAP
Cotton,Loamy,139.4,39.7,8.2,NPK 10-26-26
Cotton,Black,11.0,79.2,126.1,Urea
Groundnut,Sandy,92.6,102.2,69.2,Organic Compost
Tomato,Alluvial,13.9,78.7,66.2,Urea
Cotton,Loamy,110.2,35.8,59.6,DAP
Sugarcane,Clay,105.9,9.3,39.9,NPK 10-26-26
Maize,Loamy,84.9,89.7,27.5,MOP
Groundnut,Laterite,32.3,32.8,85.1,Urea
Soybean,Black,80.3,62.9,85.7,Urea
Wheat,Sandy,119.0,73.4,117.7,Organic Compost
Groundnut,Alluvial,52.9,62.5,121.2,Urea
Onion,Red,124.3,35.1,89.9,DAP
Onion,Desert,26.5,101.4,77.0,Urea
Onion,Desert,111.1,14.5,65.7,DAP
Sugarcane,Sandy,123.1,111.9,43.8,MOP
Chickpea,Red,97.4,67.3,6.1,MOP
Tomato,Alluvial,57.3,64.7,70.4,Urea
Millets,Sandy,118.9,97.7,133.1,Organic Compost
Onion,Black,9.4,101.0,22.7,Urea
Sugarcane,Loamy,112.6,60.9,102.9,Organic Compost
Mustard,Loamy,108.3,33.3,123.8,DAP
Sugarcane,Sandy,33.3,12.6,10.2,NPK 20-20-20
Banana,Black,139.9,134.5,4.1,MOP
Soybean,Red,47.7,33.6,116.3,Urea
Millets,Alluvial,37.8,62.8,73.1,Urea
Potato,Clay,130.8,56.4,120.0,Organic Compost
Maize,Loamy,114.7,66.2,76.7,Organic Compost
Tomato,Sandy,22.3,34.0,67.2,Urea
Millets,Black,26.9,120.5,82.7,Urea
Soybean,Clay,115.5,15.5,79.4,DAP
Cotton,Loamy,100.5,1.2,71.9,DAP
Banana,Loamy,15.4,114.5,76.1,Urea
Rice,Clay,5.3,83.0,70.2,Urea
Sugarcane,Clay,102.5,98.8,12.5,MOP
Wheat,Laterite,28.1,42.5,95.8,Urea
Banana,Clay,3.2,118.9,50.5,Urea
Millets,Black,136.2,74.1,8.3,MOP
Soybean,Alluvial,7.7,6.4,115.7,Urea
Maize,Red,132.2,85.6,40.0,MOP
Maize,Desert,69.2,46.8,87.2,Urea
Sugarcane,Alluvial,20.1,49.8,106.1,Urea
Cotton,Desert,136.4,115.5,135.6,Organic Compost
Onion,Red,85.1,27.7,11.9,NPK 10-26-26
Sugarcane,Red,99.2,50.8,0.4,MOP
Soybean,Alluvial,29.5,35.3,17.4,NPK 20-20-20
Potato,Desert,131.7,37.0,111.9,DAP
Groundnut,Laterite,51.7,46.8,138.9,Urea
Potato,Red,105.3,18.1,129.6,DAP
Soybean,Black,38.2,21.7,130.3,Urea
Potato,Black,113.8,29.9,13.2,NPK 10-26-26
Onion,Alluvial,116.5,78.8,34.6,MOP
Tomato,Red,74.6,80.0,108.0,Organic Compost
Wheat,Clay,9.7,129.0,26.0,Urea
Tomato,Laterite,14.7,50.4,128.6,Urea
Maize,Sandy,53.2,82.4,32.5,Urea
Potato,Red,116.1,98.6,54.1,MOP
Mustard,Red,21.8,32.9,38.0,NPK 20-20-20
Groundnut,Sandy,103.6,64.0,138.3,Organic Compost
Onion,Alluvial,64.5,127.2,30.8,MOP
Wheat,Desert,108.6,116.5,123.1,Organic Compost
Cotton,Sandy,112.4,31.7,6.1,NPK 10-26-26
Rice,Sandy,97.2,124.8,44.4,MOP
Potato,Alluvial,130.9,77.6,104.8,Organic Compost
Cotton,Alluvial,8.8,114.1,21.3,Urea
Wheat,Red,75.8,36.7,7.0,NPK 10-26-26
Soybean,Red,60.9,84.2,43.9,MOP
Banana,Sandy,12.5,49.0,12.6,MOP
Rice,Clay,11.8,121.6,106.3,NPK 10-26-26
Groundnut,Loamy,1.4,15.3,138.4,Urea
Soybean,Alluvial,119.0,128.4,76.8,Organic Compost
Onion,Clay,102.9,69.2,116.6,Organic Compost
Onion,Red,0.6,50.2,11.6,Urea
Mustard,Laterite,132.1,14.8,38.3,NPK 10-26-26
Potato,Laterite,106.2,75.9,84.6,Organic Compost
Cotton,Red,87.0,3.7,26.4,NPK 10-26-26
Banana,Sandy,71.3,100.6,101.8,MOP
Banana,Red,37.9,67.8,43.1,Urea
Mustard,Desert,55.4,127.7,84.1,Urea
Soybean,Black,111.2,47.3,73.8,Organic Compost
Potato,Loamy,139.9,71.0,90.1,Organic Compost
Chickpea,Laterite,6.1,136.2,102.5,Urea
Wheat,Desert,23.3,1.4,55.5,DAP
Rice,Desert,89.6,133.6,138.7,Organic Compost
Maize,Red,76.6,70.5,21.8,MOP
Groundnut,Alluvial,89.3,30.8,21.4,NPK 10-26-26
Tomato,Clay,10.3,87.6,98.6,Urea
Maize,Sandy,110.4,130.1,66.7,Organic Compost
Maize,Sandy,98.5,78.0,118.0,Organic Compost
Cotton,Desert,20.9,113.1,4.6,MOP
Sugarcane,Red,10.5,96.4,67.6,Urea
Groundnut,Laterite,0.3,18.3,37.7,NPK 20-20-20
Maize,Red,16.6,137.4,15.2,Urea
Soybean,Black,91.4,44.8,135.8,Organic Compost
Banana,Loamy,0.9,131.7,39.4,Urea
Rice,Laterite,20.6,119.9,139.2,Urea
Rice,Black,101.2,74.1,56.8,Organic Compost
Maize,Clay,24.1,37.1,45.4,Urea
Millets,Loamy,47.8,85.1,51.5,Urea
Chickpea,Red,71.4,45.1,2.3,MOP
Banana,Black,91.0,110.3,21.7,MOP
Onion,Clay,37.3,71.7,0.7,MOP
Maize,Alluvial,104.9,106.1,86.2,Organic Compost
Maize,Clay,115.8,71.0,69.5,Organic Compost
Cotton,Loamy,50.5,97.8,118.3,Urea
Sugarcane,Desert,63.4,107.2,45.0,Urea
Soybean,Sandy,33.1,39.1,49.9,Urea
Tomato,Alluvial,29.1,20.9,113.3,Urea
Sugarcane,Desert,115.0,19.2,13.7,NPK 10-26-26
Banana,Sandy,102.6,31.2,130.3,DAP
Chickpea,Loamy,121.0,73.3,105.5,Organic Compost
Potato,Desert,113.5,54.9,50.9,MOP
Mustard,Red,85.1,57.7,28.2,MOP
Potato,Black,40.7,38.1,18.3,NPK 20-20-20
Millets,Red,96.2,18.9,34.6,NPK 10-26-26
Cotton,Black,114.0,126.8,106.9,Organic Compost
Rice,Sandy,125.7,65.2,107.6,Organic Compost
Wheat,Desert,37.1,16.5,57.8,DAP
Cotton,Desert,5.2,82.6,73.5,Organic Compost
Onion,Red,59.2,69.2,32.7,Organic Compost
Cotton,Clay,113.1,25.3,90.5,DAP
Mustard,Alluvial,18.0,3.1,24.1,NPK 20-20-20
Maize,Red,75.7,46.7,112.9,Organic Compost
Mustard,Sandy,12.5,119.2,100.1,Urea
Wheat,Alluvial,20.1,53.9,114.0,Urea
Onion,Laterite,17.1,137.0,55.3,Urea
Chickpea,Clay,1.8,84.5,85.7,Urea
Wheat,Alluvial,73.9,61.0,42.5,MOP
Maize,Laterite,137.7,49.8,97.7,Organic Compost
Banana,Sandy,127.1,69.9,77.9,Organic Compost
Rice,Alluvial,109.5,102.5,13.4,MOP
Sugarcane,Sandy,122.0,87.6,27.8,MOP
Millets,Alluvial,115.1,109.0,127.5,Organic Compost
Maize,Sandy,135.3,94.4,123.4,Organic Compost
Millets,Black,21.6,4.4,5.9,NPK 20-20-20
Cotton,Alluvial,7.6,15.7,93.1,Urea
Cotton,Laterite,108.9,136.3,99.2,Organic Compost
Soybean,Loamy,136.9,42.0,109.6,Organic Compost
Potato,Desert,103.5,116.1,120.9,Organic Compost
