soil_type,temperature,humidity,rainfall,ph,crop
Black,15.3,59.5,87.6,6.41,Wheat
Loamy,15.8,65.8,78.9,6.51,Mustard
Red,22.3,74.2,94.3,5.78,Maize
Laterite,23.9,79.5,178.8,6.02,Rice
Alluvial,19.2,62.5,69.4,6.59,Wheat
Red,22.0,63.2,68.1,6.51,Tomato
Alluvial,25.1,84.4,192.2,6.38,Banana
Black,27.5,70.1,79.2,6.0,Cotton
Sandy,24.0,53.5,101.5,6.11,Groundnut
Red,27.3,67.4,143.5,6.77,Maize
Alluvial,17.8,75.3,68.5,5.83,Potato
Red,26.0,64.8,131.8,6.73,Tomato
Loamy,27.1,60.0,58.6,7.15,Maize
Alluvial,34.2,83.7,227.0,6.76,Sugarcane
Red,25.2,47.7,92.4,6.55,Groundnut
Black,21.9,65.7,48.2,7.36,Mustard
Loamy,30.6,74.7,123.8,6.56,Maize
Alluvial,16.6,61.2,90.5,5.8,Potato
Laterite,29.7,88.8,123.6,6.73,Banana
Loamy,20.2,67.5,97.6,6.25,Tomato
Black,23.6,68.3,73.8,6.83,Wheat
Alluvial,15.5,50.1,75.6,6.59,Mustard
Black,26.0,86.9,167.4,7.19,Sugarcane
Alluvial,20.8,52.7,45.7,7.12,Chickpea
Loamy,27.6,61.8,53.8,8.04,Cotton
Alluvial,29.7,69.3,141.9,6.52,Banana
Laterite,28.2,71.0,266.4,6.06,Rice
Laterite,27.8,52.3,60.0,5.85,Millets
Red,32.7,48.2,90.1,6.63,Groundnut
Loamy,32.0,70.4,61.0,6.91,Cotton
Sandy,35.3,50.2,76.4,7.29,Millets
Sandy,30.0,62.9,77.7,6.4,Groundnut
Red,30.9,65.8,115.3,6.75,Cotton
Loamy,28.1,67.6,72.9,6.92,Cotton
Loamy,29.6,70.5,223.7,7.29,Sugarcane
Black,26.9,63.6,119.9,6.38,Cotton
Laterite,22.5,56.6,117.1,7.01,Tomato
Black,18.8,39.8,43.5,6.14,Chickpea
Loamy,27.8,70.4,89.0,7.43,Onion
Clay,23.6,79.5,269.5,5.51,Rice
Black,18.1,46.6,46.0,6.6,Chickpea
Laterite,29.4,84.0,191.7,7.43,Banana
Sandy,18.7,75.2,109.4,5.98,Potato
Black,13.9,44.1,61.3,7.22,Mustard
Red,28.7,59.6,130.2,7.12,Soybean
Red,28.2,55.9,34.0,6.58,Millets
Alluvial,25.0,85.8,176.8,6.01,Banana
Laterite,33.4,71.1,245.7,6.48,Banana
Red,24.3,75.6,253.7,7.12,Banana
Black,22.9,51.9,86.1,6.03,Chickpea
Black,18.5,51.8,61.8,7.19,Onion
Alluvial,21.5,59.1,83.8,6.17,Potato
Alluvial,20.9,65.6,151.4,6.12,Maize
Loamy,16.6,65.5,101.7,7.43,Wheat
Red,31.5,69.6,103.4,6.8,Groundnut
Loamy,17.2,54.1,55.1,6.97,Chickpea
Loamy,23.1,61.5,64.5,6.8,Tomato
Alluvial,23.9,76.4,120.4,6.01,Tomato
Red,28.8,55.7,66.8,7.11,Cotton
Alluvial,20.3,56.1,100.4,6.55,Tomato
Red,29.2,69.9,140.8,7.54,Soybean
Red,28.6,58.3,99.4,7.6,Cotton
Loamy,14.5,54.7,33.6,7.46,Mustard
Loamy,21.0,83.0,143.0,5.67,Potato
Alluvial,26.3,61.0,82.1,6.15,Maize
Loamy,32.0,75.9,116.7,7.49,Banana
Alluvial,22.4,70.3,70.0,5.2,Potato
Loamy,26.8,54.0,73.5,5.9,Maize
Clay,26.8,90.1,251.5,5.62,Rice
Alluvial,28.8,69.6,202.2,6.46,Banana
Loamy,29.8,61.9,142.8,6.24,Maize
Loamy,34.4,89.5,125.0,6.85,Banana
Loamy,23.4,41.9,71.5,6.18,Chickpea
Alluvial,27.5,75.2,195.4,6.42,Sugarcane
Loamy,25.4,49.0,29.1,6.74,Mustard
Red,30.2,78.1,98.4,7.44,Soybean
Black,20.7,55.0,89.6,6.59,Onion
Loamy,17.4,50.7,40.5,7.78,Chickpea
Black,32.4,64.2,56.6,7.57,Cotton
Black,16.1,56.5,101.5,5.98,Wheat
Black,31.3,61.3,64.8,6.02,Cotton
Black,17.0,63.7,58.0,6.77,Wheat
Alluvial,19.1,60.6,100.6,6.5,Onion
Black,28.9,56.3,61.1,5.98,Cotton
Red,30.3,40.1,68.2,6.98,Millets
Black,24.0,76.0,239.9,7.41,Sugarcane
Sandy,30.2,65.0,112.6,6.23,Groundnut
Red,23.1,65.8,111.8,6.86,Tomato
Red,28.0,46.7,91.2,7.39,Millets
Loamy,27.7,88.1,155.0,6.55,Sugarcane
Alluvial,27.4,57.6,100.6,6.19,Onion
Alluvial,24.0,54.1,88.4,6.75,Tomato
Black,26.0,70.4,129.6,6.86,Soybean
Loamy,27.5,89.7,229.7,7.4,Banana
Loamy,25.0,76.6,75.0,6.64,Tomato
Black,22.7,47.6,55.9,6.92,Mustard
Alluvial,26.1,71.5,177.5,6.04,Rice
Black,27.0,63.6,139.5,7.28,Soybean
Loamy,26.4,60.5,68.5,6.66,Groundnut
Loamy,25.8,57.0,112.0,5.91,Maize
Alluvial,33.9,77.2,230.0,5.8,Rice
Alluvial,27.8,83.2,182.4,7.19,Soybean
Alluvial,16.8,50.5,71.5,6.9,Chickpea
Clay,24.9,86.5,215.3,6.22,Rice
Red,28.3,79.1,101.0,5.76,Maize
Black,27.3,64.5,49.0,7.44,Onion
Red,22.0,62.4,130.0,7.14,Soybean
Alluvial,22.7,54.4,92.1,5.98,Maize
Black,17.7,62.8,41.2,7.06,Chickpea
Clay,25.8,75.9,300.2,5.59,Rice
Alluvial,24.3,56.6,78.5,6.75,Chickpea
Black,17.3,50.4,98.7,7.44,Wheat
Sandy,24.2,73.4,90.8,5.78,Potato
Alluvial,26.0,61.4,59.1,6.69,Onion
Red,24.8,82.9,80.0,6.96,Soybean
Loamy,25.5,73.4,154.8,6.82,Maize
Black,18.5,57.8,77.9,6.82,Chickpea
Loamy,24.4,75.0,108.4,6.54,Soybean
Alluvial,23.1,78.8,94.2,5.52,Potato
Loamy,29.0,56.0,77.9,6.02,Onion
Laterite,34.2,85.1,182.5,6.64,Rice
Red,28.4,83.6,114.6,7.32,Soybean
Loamy,26.7,57.9,96.8,6.23,Tomato
Alluvial,17.1,57.5,58.4,7.73,Chickpea
Laterite,27.8,60.9,55.6,5.44,Millets
Black,22.9,64.9,79.0,6.87,Chickpea
Laterite,23.6,81.0,133.6,5.83,Maize
Clay,28.2,76.0,254.6,5.65,Rice
Red,29.2,36.2,47.5,7.7,Millets
Alluvial,33.4,82.3,169.2,7.22,Banana
Black,27.7,60.1,108.4,7.59,Cotton
Loamy,21.8,40.7,80.8,7.12,Chickpea
Loamy,27.5,79.9,166.5,7.45,Soybean
Red,32.2,83.4,79.0,5.98,Soybean
Laterite,32.0,70.8,191.4,6.37,Banana
Loamy,16.4,59.1,76.0,6.45,Chickpea
Loamy,32.5,90.7,147.3,6.11,Sugarcane
Alluvial,23.3,55.1,49.4,7.48,Wheat
Alluvial,24.7,61.4,48.1,6.33,Mustard
Alluvial,17.8,56.9,46.2,6.63,Onion
Clay,34.5,54.4,79.1,7.33,Millets
Black,27.5,52.4,69.9,6.51,Cotton
Black,17.8,64.3,99.6,6.89,Wheat
Black,25.4,62.7,43.8,6.45,Chickpea
Black,23.2,50.6,84.5,7.24,Chickpea
Black,34.2,58.1,96.3,6.7,Cotton
Alluvial,25.0,46.5,29.4,7.31,Mustard
Red,28.3,57.1,95.4,6.53,Groundnut
Red,34.5,65.9,68.2,6.26,Cotton
Alluvial,23.9,75.4,173.9,6.78,Banana
Alluvial,17.9,64.1,34.7,7.41,Chickpea
Red,31.6,59.5,107.6,6.25,Cotton
Sandy,21.4,76.2,57.5,5.96,Potato
Black,24.2,58.2,49.8,7.17,Mustard
Red,23.1,57.2,115.1,6.08,Tomato
Loamy,21.7,73.2,134.6,7.12,Maize
Loamy,16.7,63.9,63.6,6.26,Mustard
Clay,30.6,69.7,299.3,6.13,Rice
Black,19.9,63.3,80.6,7.72,Chickpea
Alluvial,27.5,78.1,255.1,5.87,Rice
Red,25.9,39.0,93.4,7.53,Millets
Laterite,32.8,89.6,184.0,6.38,Rice
Black,24.2,82.1,252.5,6.8,Sugarcane
Alluvial,26.2,68.4,63.7,6.51,Onion
Alluvial,28.8,88.1,195.0,6.04,Sugarcane
Alluvial,16.3,63.1,100.5,6.35,Wheat
Alluvial,24.6,41.4,79.5,6.12,Mustard
Alluvial,21.1,51.5,45.9,7.39,Mustard
Alluvial,21.9,64.3,110.6,6.4,Maize
Laterite,33.3,79.7,180.8,6.23,Rice
Alluvial,25.7,92.4,175.5,6.49,Banana
Laterite,30.3,83.7,170.6,6.35,Banana
Clay,25.5,87.5,282.6,5.81,Rice
Alluvial,19.7,59.0,112.8,6.4,Tomato
Loamy,34.3,67.3,109.9,6.91,Cotton
Loamy,22.2,65.9,152.4,5.81,Maize
Alluvial,22.7,65.0,65.4,6.79,Onion
Alluvial,21.4,65.0,95.2,7.45,Onion
Sandy,31.3,60.9,87.5,6.57,Groundnut
Alluvial,18.4,73.9,73.4,6.62,Onion
Sandy,36.4,59.2,74.3,6.92,Millets
Alluvial,18.7,69.7,91.9,7.36,Onion
Red,27.0,57.5,130.4,7.16,Maize
Loamy,17.5,79.6,92.2,6.07,Potato
Loamy,30.8,59.0,56.1,6.65,Maize
Black,29.7,71.3,147.8,6.72,Sugarcane
Black,25.2,45.6,55.6,7.02,Mustard
Red,25.1,55.6,97.4,7.1,Cotton
Loamy,26.4,56.5,102.4,6.93,Onion
Black,18.7,41.3,78.2,6.48,Mustard
Loamy,21.8,66.0,143.1,6.2,Soybean
Red,28.7,85.1,113.0,6.83,Soybean
Clay,25.5,75.8,178.1,7.01,Soybean
Black,18.2,75.4,80.1,7.12,Onion
Red,34.2,39.6,73.2,7.72,Millets
Loamy,26.4,56.1,66.6,7.8,Cotton
Red,29.4,58.3,62.0,6.7,Groundnut
Alluvial,15.3,67.8,92.4,6.1,Wheat
Alluvial,16.1,71.3,132.7,5.67,Potato
Alluvial,25.7,70.6,217.0,6.13,Sugarcane
Alluvial,27.9,61.9,62.9,6.85,Maize
Laterite,27.8,47.8,47.1,5.91,Millets
Black,19.7,48.6,30.8,7.2,Mustard
Alluvial,21.7,65.5,65.5,7.18,Chickpea
Black,24.1,49.2,42.6,6.92,Mustard
Black,22.5,65.0,35.9,6.19,Mustard
Sandy,26.7,51.7,67.8,6.78,Groundnut
Loamy,20.2,60.0,77.3,6.55,Wheat
Alluvial,26.1,64.9,104.5,6.71,Onion
Black,30.8,83.3,118.1,6.46,Soybean
Alluvial,23.6,67.3,74.8,5.84,Maize
Alluvial,15.9,61.1,84.7,6.07,Wheat
Clay,28.3,85.2,261.6,6.24,Rice
Loamy,16.6,63.9,53.6,7.03,Wheat
Red,34.1,48.6,37.3,5.7,Millets
Loamy,23.8,75.1,191.2,6.9,Sugarcane
Red,34.0,48.7,49.2,5.98,Groundnut
Black,24.7,59.6,57.0,6.22,Chickpea
Laterite,32.6,47.4,38.4,7.68,Millets
Red,31.5,55.0,64.4,5.97,Cotton
Loamy,31.0,59.7,65.8,7.06,Maize
Black,30.2,84.2,121.1,7.1,Soybean
Black,18.4,56.5,62.3,6.1,Wheat
Black,19.9,62.3,48.8,6.39,Wheat
Black,24.0,64.1,84.0,7.68,Chickpea
Desert,34.5,56.5,51.8,6.12,Millets
Laterite,32.8,52.9,103.5,6.56,Groundnut
Loamy,22.9,70.4,130.0,6.07,Tomato
Black,24.7,50.8,89.6,6.33,Chickpea
Clay,30.7,92.5,202.6,6.58,Rice
Sandy,16.9,71.2,73.7,5.24,Potato
Loamy,27.5,59.6,136.7,6.04,Soybean
Loamy,28.3,70.9,45.9,6.68,Onion
Black,24.9,52.9,98.5,6.74,Onion
Alluvial,15.7,56.5,91.3,6.56,Wheat
Sandy,26.1,60.6,97.0,6.32,Groundnut
Laterite,34.8,37.8,78.3,6.53,Millets
Laterite,34.9,65.3,88.2,6.72,Millets
Black,29.3,53.0,113.5,6.97,Cotton
Desert,24.7,56.5,45.2,6.18,Millets
Black,32.2,77.7,81.6,6.1,Soybean
Sandy,35.6,35.2,93.4,5.62,Millets
Loamy,26.1,79.9,113.3,6.65,Tomato
Alluvial,30.3,65.9,137.4,5.96,Maize
Loamy,21.0,59.5,80.3,7.29,Mustard
Black,19.1,58.3,49.9,6.11,Wheat
Red,31.2,66.1,43.7,7.96,Millets
Black,19.0,73.6,108.1,6.44,Onion
Alluvial,31.0,74.7,221.3,6.3,Sugarcane
Laterite,35.2,47.2,80.4,7.81,Millets
Black,23.5,66.2,64.5,6.24,Onion
Black,30.8,85.7,204.9,7.53,Sugarcane
Sandy,18.3,71.9,118.5,5.1,Potato
Black,20.0,59.5,80.3,7.37,Mustard
Alluvial,26.5,64.2,100.0,7.31,Onion
Red,35.1,38.4,44.8,7.19,Millets
Black,26.8,48.2,59.1,7.3,Cotton
Alluvial,31.7,78.9,225.2,6.45,Banana
Loamy,23.6,80.2,171.8,6.24,Sugarcane
Alluvial,27.8,67.8,60.8,6.12,Groundnut
Alluvial,32.8,92.2,225.1,5.66,Rice
Loamy,25.8,59.2,78.5,6.92,Chickpea
Loamy,18.3,67.6,128.9,6.0,Potato
Sandy,30.1,67.4,69.5,7.5,Cotton
Laterite,32.9,76.6,135.1,7.23,Banana
Black,22.5,58.4,77.8,7.47,Onion
Alluvial,25.3,47.1,68.3,6.49,Chickpea
Black,31.5,67.8,152.1,7.06,Soybean
Laterite,24.2,77.2,189.3,6.44,Banana
Alluvial,24.2,61.9,107.2,6.38,Onion
Laterite,25.7,90.7,151.2,5.78,Rice
Loamy,27.0,71.9,201.8,7.13,Banana
Loamy,17.8,61.0,76.1,6.76,Wheat
Alluvial,24.1,76.7,95.8,6.62,Tomato
Sandy,30.0,48.2,119.6,6.24,Groundnut
Loamy,22.1,79.1,110.6,6.97,Maize
Alluvial,30.7,86.8,208.0,6.85,Banana
Clay,34.0,78.0,160.4,6.58,Rice
Sandy,34.3,80.0,175.1,6.08,Banana
Black,19.7,58.5,78.3,7.38,Wheat
Sandy,32.4,37.3,39.9,6.49,Millets
Alluvial,20.3,68.5,124.6,5.23,Potato
Red,21.0,57.2,92.5,6.34,Tomato
Loamy,29.1,63.6,148.0,6.12,Maize
Alluvial,26.3,72.3,253.8,5.63,Rice
Loamy,23.0,64.3,103.7,6.32,Onion
Red,28.7,75.4,146.2,7.23,Soybean
Alluvial,33.3,81.6,207.9,7.04,Sugarcane
Laterite,30.5,85.4,146.0,6.09,Rice
Alluvial,19.7,65.0,72.0,6.72,Tomato
Clay,26.7,83.6,177.3,6.69,Rice
Clay,30.6,56.7,104.8,6.74,Cotton
Red,22.6,65.5,108.6,6.03,Maize
Alluvial,25.6,62.2,128.3,6.6,Tomato
Clay,16.5,53.3,66.6,6.52,Mustard
Alluvial,27.3,60.1,81.7,7.46,Onion
Loamy,25.7,60.5,89.3,6.91,Cotton
Sandy,32.6,57.4,62.8,6.59,Groundnut
Red,26.0,67.4,103.7,6.4,Groundnut
Black,25.0,75.6,145.9,6.64,Sugarcane
Alluvial,18.8,45.7,58.3,7.47,Chickpea
Alluvial,21.4,67.8,50.1,7.43,Wheat
Alluvial,21.0,74.4,140.3,5.71,Potato
Black,30.2,73.5,242.0,6.26,Sugarcane
Black,14.3,47.5,69.1,7.06,Mustard
Black,14.9,39.6,28.8,6.21,Mustard
Loamy,29.0,71.1,214.7,7.33,Sugarcane
Loamy,32.3,83.9,154.2,7.35,Banana
Alluvial,13.6,63.7,66.8,6.85,Mustard
Alluvial,20.5,65.9,80.0,5.49,Potato
Alluvial,28.6,87.4,231.0,6.16,Sugarcane
Loamy,33.0,81.8,171.0,6.07,Sugarcane
Red,29.8,69.8,103.4,5.98,Tomato
Laterite,24.1,64.6,175.8,6.92,Soybean
Laterite,32.7,85.7,279.8,5.52,Rice
Black,32.6,51.6,82.0,7.78,Millets
Red,28.9,54.5,70.6,7.51,Millets
Alluvial,29.4,73.4,223.8,6.22,Banana
Desert,25.8,65.4,94.5,6.02,Millets
Black,36.1,54.8,63.8,6.06,Cotton
Alluvial,23.6,69.6,150.8,6.14,Banana
Alluvial,25.1,84.1,239.9,5.99,Banana
Loamy,24.4,40.4,72.7,6.25,Chickpea
Alluvial,29.7,54.8,73.4,6.13,Onion
Black,17.1,43.0,46.5,7.38,Chickpea
Alluvial,18.5,50.6,47.6,6.74,Mustard
Clay,30.3,75.5,170.0,6.53,Rice
Loamy,33.7,82.6,223.2,6.14,Banana
Loamy,15.9,62.7,72.1,6.12,Mustard
Black,21.1,47.0,31.1,6.22,Mustard
Alluvial,21.6,80.3,78.0,6.68,Maize
Black,31.8,80.4,213.2,6.53,Sugarcane
Alluvial,31.5,59.6,116.5,6.55,Maize
Loamy,21.3,52.3,56.5,7.47,Mustard
Red,23.5,69.4,181.1,6.88,Soybean
Alluvial,28.9,58.4,119.3,5.93,Maize
Loamy,28.3,71.8,232.5,6.03,Banana
Black,28.6,45.8,74.7,6.46,Cotton
Red,27.6,64.1,101.8,6.55,Groundnut
Alluvial,26.3,56.6,132.2,7.0,Tomato
Alluvial,26.7,75.6,80.0,6.52,Tomato
Alluvial,25.1,77.7,198.4,6.81,Banana
Loamy,23.8,50.5,100.4,6.14,Onion
Loamy,23.5,54.5,99.6,6.55,Maize
Alluvial,19.0,63.0,44.1,6.37,Chickpea
Black,15.1,59.5,95.4,7.01,Wheat
Desert,34.8,54.9,93.4,7.1,Millets
Alluvial,33.5,70.6,119.1,6.21,Banana
Desert,24.8,52.9,82.5,6.91,Millets
Alluvial,20.7,53.6,90.4,6.94,Wheat
Loamy,24.9,73.7,88.0,6.24,Onion
Laterite,26.7,38.8,34.9,7.2,Millets
Loamy,24.0,78.0,138.3,6.79,Maize
Black,19.5,49.9,83.4,7.47,Wheat
Loamy,24.3,70.6,74.1,6.97,Wheat
Clay,26.7,77.0,228.3,6.07,Rice
Alluvial,20.9,78.0,70.4,5.54,Potato
Sandy,22.4,75.0,72.0,7.11,Maize
Loamy,23.3,57.2,77.2,6.06,Chickpea
Sandy,26.1,57.3,37.1,6.8,Millets
Loamy,23.2,65.8,79.0,6.37,Chickpea
Clay,33.8,85.7,159.3,6.81,Rice
Alluvial,27.4,77.5,193.7,7.2,Sugarcane
Black,36.3,70.5,76.1,6.96,Cotton
Black,17.5,50.5,64.7,6.36,Wheat
Alluvial,31.8,89.6,165.4,6.31,Rice
Clay,24.1,71.7,253.4,6.44,Rice
Red,29.3,72.5,95.1,6.61,Soybean
Alluvial,27.1,72.9,126.0,6.33,Maize
Alluvial,25.8,56.8,84.4,7.33,Onion
Sandy,19.6,73.4,119.2,5.87,Potato
Alluvial,29.1,70.5,133.6,6.55,Banana
Black,34.5,49.5,82.5,6.7,Cotton
Loamy,26.3,75.6,154.1,6.84,Maize
Loamy,29.9,54.5,57.1,6.44,Onion
Loamy,31.8,61.0,96.1,6.62,Cotton
Loamy,26.9,76.8,63.6,5.8,Maize
Loamy,27.6,85.3,150.3,6.48,Sugarcane
Alluvial,29.6,58.9,78.1,6.32,Onion
Laterite,33.8,60.0,70.3,8.06,Millets
Laterite,34.7,60.1,66.8,7.67,Millets
Alluvial,21.0,77.4,95.4,5.76,Maize
Sandy,34.7,45.6,65.2,5.48,Millets
Alluvial,22.4,62.2,152.0,6.57,Maize
Desert,19.1,77.3,135.8,5.96,Potato
Sandy,31.5,50.1,112.9,6.7,Groundnut
Alluvial,30.2,92.9,202.8,6.79,Banana
Black,26.2,56.8,101.4,6.71,Onion
Alluvial,30.9,75.9,135.8,6.09,Banana
Black,36.0,65.3,82.2,6.64,Cotton
Red,31.7,83.7,162.1,6.14,Soybean
Sandy,21.5,63.3,125.4,5.84,Potato
Black,17.6,43.2,37.3,7.51,Chickpea
Clay,25.0,90.4,160.3,5.83,Rice
Alluvial,18.8,84.3,77.4,6.42,Potato
Black,32.6,47.7,68.7,7.45,Cotton
Black,20.2,58.9,111.9,7.41,Onion
Desert,27.5,52.6,35.7,6.36,Millets
Sandy,31.6,69.5,76.0,6.11,Groundnut
Black,25.4,68.0,108.6,7.81,Cotton
Clay,30.7,80.7,186.1,6.04,Rice
Laterite,26.9,68.5,78.3,6.89,Groundnut
Red,29.3,77.4,137.9,7.23,Maize
Red,30.8,57.3,93.5,7.69,Millets
Loamy,30.4,82.1,136.0,6.53,Banana
Loamy,23.3,60.3,146.6,6.98,Soybean
Loamy,33.4,77.2,205.7,6.12,Banana
Loamy,32.1,51.8,60.8,6.27,Cotton
Loamy,29.9,70.0,98.0,7.51,Onion
Black,28.7,76.8,167.1,6.99,Soybean
Red,30.8,62.1,175.9,7.39,Soybean
Sandy,23.2,75.5,100.0,6.43,Potato
Loamy,31.9,73.5,155.0,7.24,Soybean
Red,32.0,66.3,63.0,6.54,Groundnut
Loamy,27.3,72.4,255.2,6.96,Banana
Loamy,27.6,44.1,120.3,7.77,Cotton
Loamy,27.4,73.8,157.7,7.52,Soybean
Alluvial,19.1,53.6,72.9,6.41,Onion
Loamy,17.6,63.9,64.9,6.0,Potato
Desert,24.2,72.8,70.4,6.82,Tomato
Loamy,30.2,56.0,64.1,6.85,Tomato
Alluvial,19.3,65.5,31.9,6.39,Mustard
Alluvial,24.3,89.0,169.2,6.2,Rice
Black,20.2,70.7,47.7,6.74,Onion
Laterite,23.6,87.8,251.7,6.43,Rice
Loamy,30.1,71.6,125.2,7.0,Tomato
Laterite,31.1,45.4,101.9,6.45,Groundnut
Laterite,24.0,45.2,61.7,6.61,Groundnut
Desert,31.4,43.8,48.6,6.59,Millets
Black,18.5,65.3,64.9,6.26,Wheat
Red,30.8,60.2,70.0,7.24,Cotton
Clay,24.7,89.2,290.2,6.81,Rice
Black,23.2,69.9,56.4,7.44,Wheat
Loamy,15.4,58.9,67.1,6.09,Wheat
Alluvial,29.9,88.8,178.8,7.13,Banana
Desert,34.5,63.6,34.0,5.69,Millets
Red,30.7,64.9,48.2,7.55,Millets
Loamy,33.6,83.1,141.0,6.84,Banana
Alluvial,23.0,72.5,115.3,7.16,Maize
Black,30.5,88.6,148.6,6.95,Sugarcane
Loamy,19.2,68.6,71.0,6.05,Wheat
Red,21.3,78.8,124.3,6.91,Tomato
Alluvial,22.9,57.8,44.9,6.21,Wheat
Loamy,21.3,50.2,59.8,6.18,Wheat
Laterite,28.8,60.2,57.5,6.4,Groundnut
Loamy,20.7,39.0,87.5,6.14,Chickpea
Loamy,31.3,89.7,203.2,6.42,Sugarcane
Alluvial,23.2,62.7,119.8,6.68,Maize
Loamy,22.2,43.3,71.0,6.88,Mustard
Black,25.5,59.9,44.6,6.31,Onion
Alluvial,25.9,86.3,239.7,6.5,Banana
Laterite,24.8,68.1,62.7,6.54,Groundnut
Red,25.2,51.9,49.7,6.1,Millets
Loamy,15.3,53.4,76.6,7.41,Wheat
Alluvial,23.0,79.3,100.5,6.54,Tomato
Loamy,27.6,65.4,63.6,6.38,Tomato
Laterite,26.0,50.0,92.6,6.46,Groundnut
Red,27.6,75.3,117.4,6.36,Tomato
Alluvial,26.8,72.4,189.9,6.39,Rice
Black,28.3,67.1,92.8,6.99,Cotton
Alluvial,24.7,48.4,36.4,7.22,Chickpea
Loamy,26.7,50.6,105.3,6.61,Onion
Black,17.8,55.8,29.9,6.03,Mustard
Alluvial,15.1,69.6,58.6,6.76,Wheat
Loamy,31.2,83.7,107.7,6.15,Soybean
Sandy,26.2,47.3,96.1,6.34,Groundnut
Sandy,27.9,66.5,100.0,5.99,Groundnut
Alluvial,21.2,66.8,56.8,6.39,Wheat
Laterite,31.9,69.3,209.4,6.99,Banana
Loamy,22.2,72.9,161.2,5.8,Maize
Loamy,18.9,65.8,90.7,6.45,Wheat
Alluvial,28.2,80.8,189.8,7.49,Banana
Black,26.9,52.9,107.2,6.41,Onion
Sandy,25.3,58.5,97.2,6.24,Cotton
Red,22.5,84.7,172.4,7.0,Soybean
Alluvial,30.3,89.1,252.8,6.99,Sugarcane
Loamy,23.4,69.8,174.8,6.51,Soybean
Loamy,30.1,67.4,104.0,8.0,Cotton
Red,30.6,72.4,148.7,6.55,Soybean
Clay,26.0,87.0,163.3,5.58,Rice
Loamy,28.2,86.3,205.1,5.97,Sugarcane
Sandy,23.7,45.9,92.2,6.74,Groundnut
Alluvial,22.4,50.5,68.3,7.07,Wheat
Red,27.2,69.9,120.7,6.56,Tomato
Loamy,28.9,70.8,216.1,7.21,Sugarcane
Laterite,27.6,70.3,199.5,6.56,Rice
Alluvial,29.8,65.2,85.5,5.78,Maize
Loamy,26.6,74.4,128.9,6.34,Tomato
Black,16.3,58.9,66.7,7.18,Wheat
Red,32.4,65.1,56.2,7.17,Maize
Red,36.2,64.2,70.5,7.24,Millets
Alluvial,29.1,64.7,71.7,6.54,Tomato
Desert,30.0,41.8,63.4,7.52,Millets
Alluvial,28.9,81.7,160.9,7.13,Banana
Loamy,31.8,86.1,260.6,7.0,Banana
Red,30.0,60.2,123.3,6.12,Tomato
Black,31.6,44.7,54.9,7.48,Cotton
Black,31.6,68.6,100.0,6.61,Cotton
Laterite,30.6,71.4,243.8,5.7,Rice
Clay,20.9,73.8,139.5,5.86,Maize
Red,22.0,65.1,104.2,5.98,Soybean
Loamy,17.0,67.4,62.4,7.05,Wheat
Alluvial,28.0,73.3,225.4,6.47,Sugarcane
Alluvial,24.4,81.9,231.8,6.6,Sugarcane
Sandy,32.1,68.6,113.8,6.84,Groundnut
Red,29.3,55.2,94.9,7.55,Cotton
Sandy,23.6,61.1,67.2,6.98,Mustard
Loamy,29.0,75.5,98.2,6.54,Maize
Black,28.9,74.0,98.7,6.39,Onion
Black,28.4,68.5,73.4,6.52,Cotton
Alluvial,19.8,65.9,82.5,6.95,Onion
Black,25.9,78.9,123.6,6.1,Soybean
Red,21.4,59.0,76.6,6.66,Maize
Laterite,26.0,38.7,85.7,6.72,Millets
Loamy,21.5,62.5,68.7,6.92,Chickpea
Alluvial,30.8,70.3,96.8,6.93,Maize
Loamy,30.5,80.9,142.5,7.37,Soybean
Red,30.0,78.0,97.6,7.24,Maize
Loamy,28.6,85.4,135.5,6.44,Soybean
Red,32.7,64.1,54.1,7.5,Millets
Sandy,17.3,76.0,74.2,5.83,Potato
Clay,29.2,74.7,108.9,6.3,Tomato
Alluvial,25.3,65.3,35.9,7.46,Chickpea
Loamy,21.7,60.8,76.0,4.98,Potato
Laterite,34.1,74.6,252.2,6.63,Banana
Sandy,21.7,84.6,76.0,6.47,Potato
Black,24.7,50.7,35.2,5.97,Mustard
Black,26.5,83.2,141.9,6.5,Sugarcane
Alluvial,26.9,62.8,105.6,6.25,Onion
Laterite,27.2,82.9,172.6,6.64,Rice
Loamy,23.2,65.5,70.7,5.93,Potato
Black,24.4,69.4,150.2,6.2,Sugarcane
Loamy,25.6,43.6,80.4,7.15,Chickpea
Loamy,24.8,43.7,42.9,6.04,Mustard
Loamy,33.0,71.6,159.0,6.8,Sugarcane
Loamy,21.7,61.1,91.8,5.92,Potato
Loamy,34.5,67.5,63.0,6.19,Cotton
Sandy,30.2,69.9,110.1,6.83,Groundnut
Loamy,23.6,69.8,43.5,7.17,Wheat
Alluvial,28.0,77.9,220.2,6.95,Sugarcane
Laterite,27.1,85.9,216.5,6.49,Banana
Sandy,34.3,66.0,84.0,6.69,Groundnut
Laterite,29.3,43.1,87.1,6.95,Millets
Alluvial,24.3,40.5,62.4,7.1,Mustard
Red,21.8,78.6,98.4,6.46,Tomato
Alluvial,21.2,63.9,33.3,6.05,Chickpea
Laterite,27.7,70.8,60.5,6.05,Groundnut
Loamy,34.0,56.6,114.3,7.29,Cotton
Sandy,29.3,76.9,230.7,6.63,Rice
Loamy,23.4,57.2,62.4,5.97,Tomato
